Sector,Month,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,Jan,144046,137698,142293,157129,176590,203099,236097,267097,283966
Higher Education,Feb,184592,166976,168906,183103,231892,261580,298736,321514,329819
Higher Education,Mar,191139,185791,197471,215663,242309,277392,316975,357634,361130
Higher Education,Apr,191837,186560,198248,216429,243264,278608,317776,358631,361685
Higher Education,May,192590,187406,199395,217703,244345,279943,319255,360355,362992
Higher Education,Jun,195469,190436,203792,221270,248094,284016,323467,364058,0
Higher Education,Jul,220778,218699,235566,256535,288230,333230,378626,412279,0
Higher Education,Aug,223227,221606,238558,260165,292788,335675,381350,421175,0
Higher Education,Sep,224296,223225,240301,262110,294722,337920,384168,428852,0
Higher Education,Oct,227525,227449,244787,265968,299732,343184,390030,433307,0
Higher Education,Nov,230043,230532,249105,271400,304922,348749,397911,440632,0
Higher Education,Dec,230355,230719,249350,271641,305306,349083,398123,440995,0
Higher Education Total,,2455897,2407097,2567772,2799116,3172194,3632479,4142514,4606529,1699592
VET,Jan,70657,60473,59998,70728,80230,99824,114801,133231,160303
VET,Feb,83721,72727,75074,86804,98766,113689,131013,151023,178977
VET,Mar,88859,77042,80692,93084,104583,120169,138180,159457,190499
VET,Apr,97776,85207,90109,103598,116588,133221,154636,179793,210366
VET,May,102449,90143,95453,109836,124208,143627,163973,189986,222364
VET,Jun,105715,92874,100181,114480,128862,148560,169929,196133,0
VET,Jul,119900,108017,117830,133632,148281,171645,194324,222980,0
VET,Aug,125291,113641,124315,141036,156645,180470,203687,234657,0
VET,Sep,130404,119593,131359,148296,164509,189286,213071,247310,0
VET,Oct,139085,127687,141528,159125,177248,204175,230453,266652,0
VET,Nov,143111,132684,147274,166752,184724,212655,240090,278532,0
VET,Dec,144287,134262,149454,168562,186954,216748,242941,281815,0
VET Total,,1351255,1214350,1313267,1495933,1671598,1934069,2197098,2541569,962509
Schools,Jan,12913,12545,12417,14001,15560,18677,20208,19649,18436
Schools,Feb,14043,13228,13048,14772,17076,19227,20907,20368,19131
Schools,Mar,14148,13301,13133,14840,17113,19305,20973,20410,19167
Schools,Apr,14944,13911,14068,15736,18104,20232,21846,21326,19693
Schools,May,14996,14068,14110,15764,18252,20388,22084,21395,19721
Schools,Jun,15074,14108,14142,15807,18280,20408,22115,21417,0
Schools,Jul,17442,16621,17052,19268,21927,24350,25650,24625,0
Schools,Aug,17558,16761,17177,19440,22061,24436,25737,24688,0
Schools,Sep,17617,16800,17260,19471,22095,24471,25770,24715,0
Schools,Oct,18432,17682,18339,20430,23178,25589,26661,25432,0
Schools,Nov,18486,17727,18383,20499,23219,25622,26694,25467,0
Schools,Dec,18511,17741,18401,20525,23247,25652,26723,25517,0
Schools Total,,194164,184493,187530,210553,240112,268357,285368,275009,96148
ELICOS,Jan,27728,31797,39850,44423,46905,49573,49991,50481,49521
ELICOS,Feb,34319,38855,48904,53394,57193,59027,59370,59961,57684
ELICOS,Mar,40924,46242,59591,64467,66712,69861,69186,69810,66607
ELICOS,Apr,47745,54050,67445,73210,76271,79468,80736,81725,72201
ELICOS,May,51848,59406,74797,80039,84773,88582,88041,89440,76447
ELICOS,Jun,55562,64000,81386,86865,90681,95163,94827,96172,0
ELICOS,Jul,62557,73015,89534,95107,99104,105530,105083,106310,0
ELICOS,Aug,68857,81787,98691,105995,110386,116338,116009,116915,0
ELICOS,Sep,75613,91938,108962,115958,120747,125913,126243,129722,0
ELICOS,Oct,84306,100909,120996,128359,134154,139273,139248,140777,0
ELICOS,Nov,91700,110286,131167,140880,146121,150993,150652,152022,0
ELICOS,Dec,94796,113602,135081,143423,149373,154179,154750,156621,0
ELICOS Total,,735955,865887,1056404,1132120,1182420,1233900,1234136,1249956,322460
Non-award,Jan,5977,6735,7827,10684,10975,16359,15814,15449,14605
Non-award,Feb,14338,13720,15453,18523,23252,27686,27568,26018,24217
Non-award,Mar,14594,15722,19401,22577,25129,30412,30299,29284,26887
Non-award,Apr,14929,16145,19911,23203,25769,31089,30913,29769,27057
Non-award,May,15056,16265,20180,23439,26144,31470,31289,30077,27147
Non-award,Jun,15810,16959,21080,24222,27506,32782,32547,31060,0
Non-award,Jul,22734,24935,30576,33631,38006,44539,43880,39584,0
Non-award,Aug,23444,25893,31919,35109,40476,46433,46100,43927,0
Non-award,Sep,24102,26811,32833,36373,41721,47548,46870,45034,0
Non-award,Oct,25025,27792,34087,37454,43679,49583,48909,47093,0
Non-award,Nov,25087,27853,34165,37575,44010,49954,49474,47626,0
Non-award,Dec,25105,27920,34193,37590,44044,49981,49843,48207,0
Non-award Total,,226201,246750,301625,340380,390711,457836,453506,433128,119913
Grand Total,,4963472,4918577,5426598,5978102,6657035,7526641,8312622,9106191,3200622
